6,Sun,October16,,PhiladelphiaEagles,@,PittsburghSteelers,boxscore,31,14,281,3,178,3
6,Sun,October16,,DallasCowboys,@,St.LouisCardinals,boxscore,10,10,326,4,175,0
6,Sat,October8,,KansasCityChiefs,,DenverBroncos,boxscore,37,10,379,1,212,2
6,Sat,October8,,NewYorkJets,,SanDiegoChargers,boxscore,17,16,248,3,445,1
6,Sat,October8,,BostonPatriots,@,BuffaloBills,boxscore,20,10,286,1,321,3
6,Sun,October9,,OaklandRaiders,,MiamiDolphins,boxscore,21,10,357,3,192,2
7,Sun,October16,,OaklandRaiders,@,KansasCityChiefs,boxscore,34,13,371,2,209,3
7,Sun,October16,,HoustonOilers,,NewYorkJets,boxscore,24,0,339,3,216,5
7,Sun,October16,,MiamiDolphins,,DenverBroncos,boxscore,24,7,217,4,118,6
7,Sun,October16,,SanDiegoChargers,@,BuffaloBills,boxscore,17,17,219,0,320,2
7,Sun,October23,,BaltimoreColts,,MinnesotaVikings,boxscore,20,17,347,2,317,1
7,Sun,October23,,ChicagoBears,,LosAngelesRams,boxscore,17,10,287,2,203,2
7,Sun,October23,,ClevelandBrowns,,DallasCowboys,boxscore,30,21,264,0,413,4
7,Sun,October23,,SanFrancisco49ers,,DetroitLions,boxscore,27,24,359,4,314,2
7,Sun,October23,,WashingtonRedskins,,St.LouisCardinals,boxscore,26,20,291,1,251,5
7,Sun,October23,,PhiladelphiaEagles,@,NewYorkGiants,boxscore,31,3,316,3,228,5
7,Sun,October23,,GreenBayPackers,,AtlantaFalcons,boxscore,56,3,357,0,216,4
8,Sun,October30,,DallasCowboys,,PittsburghSteelers,boxscore,52,21,425,3,119,4
8,Sun,October30,,MinnesotaVikings,,SanFrancisco49ers,boxscore,28,3,559,2,154,3
8,Sun,October30,,BaltimoreColts,@,LosAngelesRams,boxscore,17,3,322,3,340,6
8,Sun,October30,,WashingtonRedskins,@,PhiladelphiaEagles,boxscore,27,13,260,3,257,2
8,Sun,October30,,GreenBayPackers,@,DetroitLions,boxscore,31,7,344,2,317,5
8,Sun,October30,,ClevelandBrowns,@,AtlantaFalcons,boxscore,49,17,508,1,321,3
8,Mon,October31,,St.LouisCardinals,,ChicagoBears,boxscore,24,17,166,3,282,4
8,Sun,October23,,BostonPatriots,,SanDiegoChargers,boxscore,35,17,414,4,329,3
8,Sun,October23,,KansasCityChiefs,@,DenverBroncos,boxscore,56,10,614,1,211,7
8,Sun,October23,,MiamiDolphins,@,HoustonOilers,boxscore,20,13,340,0,301,5
8,Sun,October23,,OaklandRaiders,@,NewYorkJets,boxscore,24,21,334,2,397,3
9,Sun,October30,,BostonPatriots,,OaklandRaiders,boxscore,24,21,339,4,243,2
9,Sun,October30,,KansasCityChiefs,,HoustonOilers,boxscore,48,23,441,3,268,4
9,Sun,October30,,SanDiegoChargers,,DenverBroncos,boxscore,24,17,334,2,280,0
9,Sun,October30,,BuffaloBills,@,NewYorkJets,boxscore,33,23,268,5,328,6
9,Sun,November6,,PittsburghSteelers,,ClevelandBrowns,boxscore,16,6,267,0,307,6
9,Sun,November6,,BaltimoreColts,,WashingtonRedskins,boxscore,37,10,520,2,272,4
9,Sun,November6,,DetroitLions,@,ChicagoBears,boxscore,10,10,255,1,282,0
9,Sun,November6,,PhiladelphiaEagles,,DallasCowboys,boxscore,24,23,80,3,240,2
9,Sun,November6,,SanFrancisco49ers,,LosAngelesRams,boxscore,21,13,358,2,142,1
9,Sun,November6,,St.LouisCardinals,@,NewYorkGiants,boxscore,20,17,264,2,210,2
9,Sun,November6,,MinnesotaVikings,@,GreenBayPackers,boxscore,20,17,290,0,292,1
10,Sun,November13,,SanFrancisco49ers,@,ChicagoBears,boxscore,30,30,423,3,220,1
10,Sun,November13,,BaltimoreColts,@,AtlantaFalcons,boxscore,19,7,200,3,241,7
10,Sun,November13,,ClevelandBrowns,,PhiladelphiaEagles,boxscore,27,7,345,0,290,4
10,Sun,November13,,LosAngelesRams,,NewYorkGiants,boxscore,55,14,572,1,103,3
10,Sun,November13,,DallasCowboys,@,WashingtonRedskins,boxscore,31,30,515,3,341,0
10,Sun,November13,,DetroitLions,@,MinnesotaVikings,boxscore,32,31,268,4,232,5
10,Sun,November13,,PittsburghSteelers,,St.LouisCardinals,boxscore,30,9,150,3,251,4
10,Sun,November6,,KansasCityChiefs,,SanDiegoChargers,boxscore,24,14,302,2,287,2
10,Sun,November6,,OaklandRaiders,,HoustonOilers,boxscore,38,23,390,3,246,3
10,Sun,November6,,DenverBroncos,@,BostonPatriots,boxscore,17,10,240,7,110,5
10,Sun,November6,,BuffaloBills,@,MiamiDolphins,boxscore,29,0,385,5,171,4
11,Sun,November13,,BostonPatriots,,HoustonOilers,boxscore,27,21,391,0,374,0
11,Sun,November13,,KansasCityChiefs,,MiamiDolphins,boxscore,34,16,396,5,160,6
11,Sun,November13,,BuffaloBills,,NewYorkJets,boxscore,14,3,224,0,329,1
11,Sun,November13,,OaklandRaiders,@,SanDiegoChargers,boxscore,41,19,477,0,318,2
11,Sun,November20,,DetroitLions,,BaltimoreColts,boxscore,20,14,281,4,289,6
11,Sun,November20,,GreenBayPackers,,ChicagoBears,boxscore,13,6,296,2,160,4
11,Sun,November20,,DallasCowboys,@,PittsburghSteelers,boxscore,20,7,258,1,163,3
11,Sun,November20,,AtlantaFalcons,@,NewYorkGiants,boxscore,27,16,289,1,303,4
11,Sun,November20,,LosAngelesRams,,MinnesotaVikings,boxscore,21,6,228,1,186,4
11,Sun,November20,,ClevelandBrowns,,WashingtonRedskins,boxscore,14,3,271,2,327,4
11,Sun,November20,,PhiladelphiaEagles,@,SanFrancisco49ers,boxscore,35,34,289,5,404,5
